$MeshFile
Vertex	X	YZ
433	0.0692308	0.4076920
434	0.0846154	0.4076920
435	0.1	0.4076920
436	0.115385	0.4076920
437	0.130769	0.4076920
438	0.146154	0.4076920
439	0.161538	0.4076920
440	0.176923	0.4076920
441	0.192308	0.4076920
442	0.207692	0.4076920
443	0.223077	0.4076920
444	0.238462	0.4076920
445	0.253846	0.4076920
446	0.269231	0.4076920
447	0.284615	0.4076920
448	0.3	0.4076920
449	0.315385	0.4076920
450	0.330769	0.4076920
451	0.346154	0.4076920
452	0.361538	0.4076920
453	0.376923	0.4076920
454	0.392308	0.4076920
455	0.407692	0.4076920
456	0.423077	0.4076920
457	0.438462	0.4076920
458	0.453846	0.4076920
459	0.469231	0.4076920
460	0.484615	0.4076920
461	0.5	0.4076920
462	-0.5	0.3923080
463	-0.484615	0.3923080
464	-0.469231	0.3923080
465	-0.453846	0.3923080
466	-0.438462	0.3923080
467	-0.423077	0.3923080
468	-0.407692	0.3923080
469	-0.392308	0.3923080
470	-0.376923	0.3923080
471	-0.361538	0.3923080
472	-0.346154	0.3923080
473	-0.330769	0.3923080
474	-0.315385	0.3923080
475	-0.3	0.3923080
476	-0.284615	0.3923080
477	-0.269231	0.3923080
478	-0.253846	0.3923080
479	-0.238462	0.3923080
480	-0.223077	0.3923080
481	-0.207692	0.3923080
482	-0.192308	0.3923080
483	-0.176923	0.3923080
484	-0.161538	0.3923080
485	-0.146154	0.3923080
486	-0.130769	0.3923080
487	-0.115385	0.3923080
488	-0.1	0.3923080
489	-0.0846154	0.3923080
490	-0.0692308	0.3923080
491	-0.0538462	0.3923080
492	-0.0384615	0.3923080
493	-0.0230769	0.3923080
494	-0.00769231	0.3923080
495	0.00769231	0.3923080
496	0.0230769	0.3923080
497	0.0384615	0.3923080
498	0.0538462	0.3923080
499	0.0692308	0.3923080
500	0.0846154	0.3923080
501	0.1	0.3923080
502	0.115385	0.3923080
503	0.130769	0.3923080
504	0.146154	0.3923080
505	0.161538	0.3923080
506	0.176923	0.3923080
507	0.192308	0.3923080
508	0.207692	0.3923080
509	0.223077	0.3923080
510	0.238462	0.3923080
511	0.253846	0.3923080
512	0.269231	0.3923080
513	0.284615	0.3923080
514	0.3	0.3923080
515	0.315385	0.3923080
516	0.330769	0.3923080
517	0.346154	0.3923080
518	0.361538	0.3923080
519	0.376923	0.3923080
520	0.392308	0.3923080
521	0.407692	0.3923080
522	0.423077	0.3923080
523	0.438462	0.3923080
524	0.453846	0.3923080
525	0.469231	0.3923080
526	0.484615	0.3923080
527	0.5	0.3923080
528	-0.5	0.3769230
529	-0.484615	0.3769230
530	-0.469231	0.3769230
531	-0.453846	0.3769230
